Unnamed: 0,번호,제목,저자,출판사,출판일
,11,"The mummy and the medical gaze: digital visualisations in the British Museum's exhibition Ancient lives, new discoveries","Wagner, Karin",Taylor & Francis,2017
,12,Revitalizing the School Museum: Using Nature-Based Objects for Cross-Curricular Learning,"Cornish, Caroline; Driver, Felix; Nesbitt, Mark; Willison, Julia",MANEY PUBLISHING,2021
,13,The Practicum Course Model: Embracing the Museum–University Culture Clash,"Kingsley, Jennifer P.",MANEY PUBLISHING,2016
,14,MOOCs and Museums: Not Such Strange Bedfellows,"Mazzola,  Lisa",MANEY PUBLISHING,2015
,15,The Flipped Museum: Leveraging Technology to Deepen Learning,"Harrell,  Michelle H.; Kotecki,  Emily",MANEY PUBLISHING,2015
,16,Impacts of Art Museum-based Dementia Programming on Participating Care Partners,"Lamar, Katherine L.; Luke, Jessica J.",MANEY PUBLISHING,2016
,17,Mornings at the Museums: A Family Friendly Early Childhood Program,"Lifschitz-Grant, Naomi",MANEY PUBLISHING,2018
,18,"Corrigendum: ""Appreciation of Authenticity Promotes Curiosity: Implications for Object-based Learning in Museums""","Bunce, Louise",MANEY PUBLISHING,2017
,19,Elementary Reflections Case Study of a Collaborative Museum/School Curatorial Project,"Wylder, V.D.T.; Lerner, E.B.; Ford, A.S.",MANEY PUBLISHING,2014
,20,Volunteer Educators in Museums: How Effective Training and Retention Leads to Exceptional Interactions with Visitors,"Kartchner, Heidi; Cherry, Tammy Messick; Talbert, Christina; McIntosh, Jennifer",MANEY PUBLISHING,2021
,21,Creating and Sustaining a Culture of Reflective Practice: Professional Development by and for Museum-Based Maker Educators,"Grabman, Rebecca; Stol, Talia; McNamara, Annie; Brahms, Lisa",MANEY PUBLISHING,2019
,22,What Do Caregivers Notice and Value About How Children Learn Through Play In a Children's Museum?,"Letourneau, Susan M.; Meisner, Robin; Neuwirth, Jessica L.; Sobel, David M.",MANEY PUBLISHING,2017
,23,"Diversity, Equity, Inclusion, and Accessibility in Museums: A Trauma-Informed Approach to Programming Around Canada's Response to the Global Refugee Crisis","Maddock, Keely",MANEY PUBLISHING,2022
,24,Why Creativity? Articulating and Championing a Museum's Social Mission,"Foley, C.M.",MANEY PUBLISHING,2014
,25,Blindness in Art Museums: A Portuguese Case Study,"Martins, Patrícia Roque",MANEY PUBLISHING,2020
,26,Insights on a Museum's Distance Learning Program,"O'Leary, Lynda",MANEY PUBLISHING,2011
,27,Who is Educating Whom? Two-way Learning in Museum/University Partnerships,"Silverman, F.; Bartley, B.",MANEY PUBLISHING,2013
,28,Intentional Practice for Museums: A Guide for Maximizing Impact,"Orologas, Claire",MANEY PUBLISHING,2019
,29,Corrigendum: “Appreciation of Authenticity Promotes Curiosity: Implications for Object-based Learning in Museums”,"Bunce, Louise",MANEY PUBLISHING,2017
,30,Parent/Caregiver Perspectives on Children's Play and Learning at a Children's Museum: A Qualitative Descriptive Study,"Taylor, Ellie K.; Kervin, Lisa",MANEY PUBLISHING,2022
,31,Communicating Climate Change Content in Small and Mid-Sized Museums: Challenges and Opportunities,"Henry, Catherine; Carter, Kate",MANEY PUBLISHING,2021
,32,Involving the Child in the Management of Science Museums: A Tool of Social Transformation,"Gordillo Martorell, José Antonio",MANEY PUBLISHING,2017
,33,Devisualizing the Museum: From Access to Inclusion,"Eardley, Alison F.; Thompson, Hannah; Fineman, Anna; Hutchinson, Rachel; Bywood, Lindsay; Cock, Matthew",MANEY PUBLISHING,2022
,34,Embracing Organizational Change in Museums: A Work in Progress,"Janes, R. R.",ATHLONE PRESS,1999
,35,Coleoptera Type Material in the South African Museum: Part 1. Carabidae,"Cochrane, M. A.",THE RUSTICA PRESS,1995
,36,"Two Amulets in the Getty Museum: A Gold Amulet for Aurelia's Epilepsy: An Inscribed Magical-Stone for Fever, ""Chills,"" and Headache","KOTANSKY, R.",J. Paul Getty Trust,1980
,37,A Tetradrachm of Seleucia Pieria at the Getty Museum: An Archaizing Zeus and the Accession of Alexander Balas in Northern Syria,"HOUGHTON, A.",J. Paul Getty Trust,1982
,38,"Australian Interventions: 'The Artist and the Museum' Series, Ian Potter Gallery, University of Melbourne","Duclos, R.",ATHLONE PRESS,1996
,39,"Late Etruscan Cinerary Urns from Volterra at the J. Paul Getty Museum: A Lid Figure Altered from Male to Female, and an Ancestor to Satirist Persius","NIELSEN, M.",J. Paul Getty Trust,1986
,40,Supporting Archaeological Collections in Museums,"Leary, E.",London; Society of Museum Archaeologists,2007
,41,Making the most of opportunity. Or how a district museum service used archaeology to get noticed and some thoughts on the role of local museums,"Wood, B.",London; Society of Museum Archaeologists,2008
,42,"Greek private collecting of antiquities and the museum; two collectors, two museums and their tales","Mouliou, M.",Society of Museum Archaeologists,1995
,43,"802,002 Objects: Caring for the Archaeological and Numismatic Collections in the National Museums &amp; Galleries of Wales","Brewer, R.",London; Society of Museum Archaeologists,2007
,44,"A Research Framework for Yorkshire: Integrating SMR, Museum and Commercially-Generated Data","Roskams, S.; Gibbs, P.; Whyman, M.",London; Society of Museum Archaeologists,2007
,45,"Multimedia in museum, museum in multimedia","Noll, L.",Museum Documentation Association,1993
,46,A Place in the World: Addressing Contemporary Issues at the British Museum,"Irving, A.",London; Society of Museum Archaeologists,2007
,47,Managing Hegemony: The Archaeological Collections of the National Museums of Scotland,"Clarke, D. V.",London; Society of Museum Archaeologists,2007
,48,"A Store, a Survey and then Action! The National Museums &amp; Galleries of Wales Collections Survey","Walker, E. A.; Hill, P.",London; Society of Museum Archaeologists,2007
,49,CD-I applications at the British Gold Museum and the United States Golf Association Museum and Library,"Lewis, P.; Bednarski, K.",Museum Documentation Association,1993
,50,Preserving for Perpetuity versus Destroying to Advance Science: the Museum Dilemma,"Walker, E.A.",Colchester; Society of Museum Archeologists,2010
,51,CD-I applications at the British Golf Museum and the United States Golf Association Museum and Library,"Lewis, P.;Bednarski, K.",Museum Documentation Association,1993
,52,Introduction to Leeds Museums and Galleries,"Roles, J.; Baxter, K.",Colchester; Society of Museum Archeologists,2010
,53,"Multimedia in museum, museum in multimedia","Noll, L.",Museum Documentation Association,1993
,54,The New Corinium Museum Bringing the Past to Life,"Gentil, P.",London; Society of Museum Archaeologists,2008
,55,The Museum of London's Medieval London Gallery,"Jeater, M.",London; Society of Museum Archaeologists,2008
,56,"Technologies, like Museums, are Social","Bearman, D.; Trant, J.",Archives &amp; Museums Informatics,2008
,57,The Delphi Toolkit: Enabling Semantic Search for Museum Collections,"Schmitz, P.L.; Black, M.T.",Archives &amp; Museums Informatics,2008
,58,"The Museum Collection - a ""Junkyard of of Curiosities"" or a neglected Archaeological Asset?","Gaimster, D.",Society of Museum Archaeologists,1989
,59,The holy grail of museum multimedia: Moving beyond the box,"Oker, J.",Museum Documentation Association,1993
,60,"Building the Next Generation Collaborative Museum Shopping Site: Merging e-commerce, e-museums &amp; entrepreneurs","Tellis, C.;Moore, R. R.",Museum Informatics,2000
,61,The Small Museum Web Site: A case study of the web site development and strategy in a small art museum,"Hoff, K.",Museum Informatics,2000
,62,From Ladders Of Participation To Networks Of Participation: Social Media And Museum Audiences,"Kelly, L.; Russo, A.",Archives &amp; Museums Informatics,2008
,63,Telecommunications in museums,"Delouis, D.",Museum Documentation Association,1993
,64,Building An Adaptive Museum Gallery In Second Life,"Oberlander, J.; Karakatsiotis, G.; Isard, A.; Androutsopoulos, I.",Archives &amp; Museums Informatics,2008
,65,Dynamic hypermedia from a museum database: The Gold of Greece Application,"Dallas, C. J.; Garzotto, F.",Museum Documentation Association,1993
,66,Case Study: Museum of the Person: a Brazilian experience of a virtual museum,"Worcman, K.;Matos, J. S.;Henriques, R. N.",Museum Informatics,1999
,67,Design and Development of Systems for Museums and Galleries,"Hemsley, J.",Museum Documentation Association,1993
,68,"Getting ``In Your Face'': Strategies for Encouraging Creativity, Engagement and Investment When the Museum is Offline","McIntyre, G.; Rubenzahl, I.; Wiginton, C.; Lajoie, M.",Archives &amp; Museums Informatics,2008
,69,The Right Stuff? Hampshire Museums and interactive archaeology,"Elmer, C.",Society of Museum Archaeologists,1998
,70,What Does Openness Mean To The Museum Community?,"Kelly, B.; Ellis, M.; Gardler, R.",Archives &amp; Museums Informatics,2008
,71,The electronic guide at the museum of Dion,"Dessipris, N.",Museum Documentation Association,1993
,72,"Who Has The Responsibility For Saying What We See? Mashing up Museum, Artist, and Visitor Voices, On-site and On-line","Samis, P.",Archives &amp; Museums Informatics,2008
,73,Beyond Launch: Museum Videos on YouTube,"Alexander, C.; Burnette, A.; Dark, D.; Hart, D.; Rossi, J.; Minor, N.",Archives &amp; Museums Informatics,2008
,74,Applications of Museums,"Perrot, X.",Museum Documentation Association,1993
,75,"High resolution digital image storage at the National Railway Museum, York","Booth, B.; Heap, C.",Museum Documentation Association,1993
,76,Museum and interactive multimedia information service,"Lefftz, M.; Demblon, C.",Museum Documentation Association,1993
,77,Ethnographic treasuries in the computer: Electronic access to a total museum collection,"Wanning, T.",Museum Documentation Association,1993
,78,Illuminating the twilight zone: The new prehistoric gallery at the Museum of London,"Cotton, J.",Society of Museum Archaeologists,1995
,79,Museums and the independent researcher,"Webster, P.",Society of Museum Archaeologists,1989
,80,Social Presence: New Value for Museums and Networked Audiences,"Dawson, B.; McDonald, F.; Trepanier, G.",Archives &amp; Museums Informatics,2008
,81,Making the punishment fit the crime: Integrated interactive systems in the Museum,"Friedlander, L.",Museum Documentation Association,1993
,82,Family agendas and the museum experience,"Moussouri, T.",Society of Museum Archaeologists,1998
,83,"A comparison of museum exhibits in three areas: art, sports, and science","Strohecker, C.",Museum Documentation Association,1993
,84,Towards New Metrics Of Success For On-line Museum Projects,"Chan, S.",Archives &amp; Museums Informatics,2008
,85,The Museum Wearable: real-time sensor-driven understanding of visitors' interests for personalized visually-augmented museum experiences,"Sparacino, F.",Museum Informatics,2002
,86,"""Beyond museum walls"" - A critical analysis of emerging approaches to museum web-based education","Sumption, K.",Museum Informatics,2001
,87,Major new Manchester museum space: Museum of Museums proposed for the city leaves sector confused,"Steel, P.",MUSEUMS ASSOC,2010
,88,Hypermuse: A prototype hypermedia front-end for museum information systems,"Fahy, A.; Poulter, A.; Sargent, G.",Museum Documentation Association,1993
,89,Where Do We Go From Here? Continuing with Web 2.0 at the Brooklyn Museum,"Bernstein, S.",Archives &amp; Museums Informatics,2008
,90,Hypertext and museum documentation,"Garvas Delic, A.; Vinterhalter, J.",Museum Documentation Association,1993
,91,Archaeological archives and SMRs: Current museum practice,"Qualmann, K.",Society of Museum Archaeologists,1995
,92,The rocky road to multimedia: museum politics and institutional change,"Samis, P.",Museum Documentation Association,1993
,93,Does size matter? Effective presentation of archaeology in small museums,"Wood, B.",Society of Museum Archaeologists,1995
,94,Museums and the construction of an identity for archaeology: Dioramas and the presentation of early prehistoric life,"Moser, S.",Society of Museum Archaeologists,1995
,95,"Scottish Mining Museum, Midlothian; Middlesbrough Institute of Modern Art; Cuming Museum, London; Chastleton House, Oxfordshire; Chasing Freedom, Royal Naval Museum, Portsmouth",unknown,MUSEUMS ASSOC,2007
,96,Representing Rome: In the museum,"Beard, M.; Henderson, J.",Society of Museum Archaeologists,1995
,97,Multimedia technology at the Orsay Museum Institutional experience and future prospects,"Le Coz, F.; Lemessier, F.",Museum Documentation Association,1993
,98,Design driven organisation: Extending the museum context,"Semper, R.; Hooper Woolsey, K.",Museum Documentation Association,1993
,99,Multimedia and the politics of museum organisational change,"Yenawine, P.",Museum Documentation Association,1993
,100,Impact on schools and museum studies,"Fahy, A.",Museum Documentation Association,1993
,1,The future for Museums and their archaeological collecting policies. The implications of Registration,"Newbery, C.",Society of Museum Archaeologists,1989
,2,"Lore of the land With the formation of the Folklore Museums Network and the growing case for a permanent Museum of British Folklore, why is the subject still the poor cousin in museum collections","Mills, Eleanor",MUSEUMS ASSOC,2022
,3,"Museums, information and multimedia","Burnett, J.; Morrison, I.",Museum Documentation Association,1993
,4,Impact on museum profession,"Wanning, T.",Museum Documentation Association,1993
,5,Museums and the Archaeology Data Service,"Wise, A.",Society of Museum Archaeologists,1998
,6,A Hypertext for an interactive visit to a science and technology museum,"Signore, O.; Malasoma, S.; Tarchi, R.; Tunno, L.",Museum Documentation Association,1993
,7,Interactive multimedia in small museums and archives: A case study,"Looms, P. O.",Museum Documentation Association,1993
,8,Interactive multimedia for museum publishing,"Hoekema, J.",Museum Documentation Association,1993
,9,Eight European museums teaming up for EMN and where to go from now,"Lipp, A.; Schmitz-Esser, W.",Museum Documentation Association,1993
,10,Presenting `Britain's Oldest Recorded Town': The redisplay of Colchester Castle Museum,"Wise, P.J.",London; Society of Museum Archaeologists,2008
,11,"Museum of... Bow Street Police Museum, London. Chiara Wilkinson on an arresting new museum",unknown,MUSEUMS ASSOC,2021
,12,"Multimedia, museum studies, a bridge","Freedman-Harvey, G.",Museum Documentation Association,1993
,13,Personal Recollection: The Museum Triangle,"Thomas, N.",Society of Museum Archaeologists,1989
,14,"Museum of... Royal College of Music Museum, London. This wide-ranging collection features an original Mozart concerto manuscript","Rudling, Michael",MUSEUMS ASSOC,2022
,15,The Web as a Fact of Museum Life,"Bearman, D.;Trant, J.",Museum Informatics,2001
,16,Evaluating The Features of Museum Web Sites (The Bologna Report),"Di Blas, N.;Guermandi, M. P.;Romagna, E.;Orsini, C.;Paolini, P.",Museum Informatics,2002
,17,"Museum of English Rural Life, Reading Tony Butler separates the wheat from the chaff at this outstanding redevelopment of a museum about life in the countryside",unknown,MUSEUMS ASSOC,2017
,18,"The Higgins, Bedford: Bedford's new museum may have all the things you would expect to find in a regional museum, but the quality is exceptional","Iken, C.",MUSEUMS ASSOC,2013
,19,"Museum and university mutations: the relationship between museum practices and museum studies in the era of interdisciplinarity, professionalisation, globalisation and new technologies","Dubuc, E.",Taylor & Francis,2011
,20,Hastings Museum and Art Gallery: The East Sussex town's museum plays to its strengths and stays local,"Burch, S.",MUSEUMS ASSOC,2007
,21,"The Black Watch Museum and Castle, Perth A well-organised regimental museum helps Mary Stones overcome a lifelong aversion to military history",unknown,MUSEUMS ASSOC,2014
,22,Accessibility Techniques for Museum Web Sites,"Anable, S.;Alonzo, A.",Museum Informatics,2001
,23,"War Horse: Fact and Fiction, National Army Museum, London: The National Army Museum joins the War Horse bandwagon","Selwood, S.",MUSEUMS ASSOC,2012
,24,"Museum of Somerset, Taunton Castle: Tim Bryan applauds a museum that lets the richness of the collections shine through",unknown,MUSEUMS ASSOC,2012
,25,Museum Websites and Museum Visitors: Before and After the Museum Visit,"Marty, P.. F.",Taylor & Francis,2007
,26,"Rochdale Pioneers Museum, Rochdale: The People's Business: 150 Years of the Co-operative, People's History Museum, Manchester Two exhibitions celebrate the radical ideas behind the 19th-century co-operative movement","Holdsworth, S.",MUSEUMS ASSOC,2014
,27,"Museum of... South Wales Miners' Museum, Port Talbot","Rudling, Michael",MUSEUMS ASSOC,2022
,28,Combining the CIDOC CRM and MPEG-7 to Describe Multimedia in Museums,"Hunter, J.",Museum Informatics,2002
,29,Interactive Audio Content: An Approach to Audio Content for a Dynamic Museum Experience through Augmented Audio Reality and Adaptive Information Retrieval,"Wakkary, R.; Newby, K.; Hatala, M.; Evernden, D.; Droumeva, M.","Archives &amp; Museum Informatics,",2004
,30,"Museum of... British Red Cross Museum, London. Pippa Kelly finds out about this new venue",unknown,MUSEUMS ASSOC,2022
,31,Museums for Somebody: Children's Museum Professionals and the American Association of Museums (1907–1922),"Swigger, Jessie",MANEY PUBLISHING,2019
,32,Evaluating the Usability of a Museum Web Site,"Harms, I.;Schweibenz, W.",Museum Informatics,2001
,33,"Museums of belonging: Immigration is an emotive and contentious subject, which is why, says Hannah Westley, so few museums are prepared to tackle it",unknown,MUSEUMS ASSOC,2008
,34,"The Tomb of the Unknown Craftsman, British Museum Grayson Perry has brought insight to his British Museum show","Suggitt, M.",MUSEUMS ASSOC,2011
,35,"Fusilier Museum, London Rachel Souhami says this good regimental museum needs a broader social context",unknown,MUSEUMS ASSOC,2011
,36,The Electronic Guidebook: Using Portable Devices and a Wireless Web-based Network to Extend the Museum Experience,"Semper, R.;Spasojevic, M.",Museum Informatics,2002
,37,Design driven organisation: Extending the museum context,"Semper, R.;Hooper Woolsey, K.",Museum Documentation Association,1993
,38,The rocky road to multimedia: museum politics and institutional change,"Samis, P.",Museum Documentation Association,1993
,39,Hypertext and museum documentation,"Garvas Delic, A.;Vinterhalter, J.",Museum Documentation Association,1993
,40,"Museums, information and multimedia","Burnett, J.;Morrison, I.",Museum Documentation Association,1993
,41,Impact on museum profession,"Wanning, T.",Museum Documentation Association,1993
,42,"Ely Museum, Cambridgeshire Stuart Orme is impressed by a seamless mix of the old and new at a revamped museum charting the history of the Fens",unknown,MUSEUMS ASSOC,2022
,43,"Teignmouth &amp; Shaldon Museum, Devon This seaside museum has had an impressive makeover","Calder, P.R.",MUSEUMS ASSOC,2011
,44,Multimedia and the politics of museum organisational change,"Yenawine, P.",Museum Documentation Association,1993
,45,Livesey Museum closes doors: Children's museum closes but campaigners get to work on rescue plan,"Clancy, H.",MUSEUMS ASSOC,2008
,46,Eight European museums teaming up for EMN and where to go from now,"Lipp, A.;Schmitz-Esser, W.",Museum Documentation Association,1993
,47,Livesey Museum to close Protests mount over threatened closure of the south London children's museum,"Heal, S.",MUSEUMS ASSOC,2008
,48,Army museums face financial shake-up because of MOD cost cutting; Birmingham museums to be merged into new trust,unknown,MUSEUMS ASSOC,2011
,49,Bronte Museum tax rebate: a mixed blessing for independent museums,"Huang, J. B.; Han, F.; Wu, T.",MUSEUMS ASSOC,2003
,50,"Engaging Museums, Content Specialists, Educators, and Information Specialists: A Model and Examples","Frost, C. O.",Museum Informatics,2001
,51,Impact on schools and museum studies,"Fahy, A.",Museum Documentation Association,1993
,52,Dynamic Museum Place: Exploring the Multi-Dimensional Museum Environment,"Leach, D.B.",MUSEUM EDUCATION ROUNDTABLE,2007
,53,Using Interactive Broadband Multicasting in a Museum Lifelong Learning Program,"Steinbach, L.",Museum Informatics,2001
,54,Peterborough Museum This museum has a lot going for it but does it make the grade,"Davies, M.",MUSEUMS ASSOC,2012
,55,A New Way of Making Cultural Information Resources Visible on the Web: Museums and the Open Archives Initiative,"Perkins, J.",Museum Informatics,2001
,56,Design and Analysis of Virtual Museums,"Falquet, G.;Guyot, J.;Nerima, L.;Park, S.",Museum Informatics,2001
,57,"Museum of Lancashire, Preston A former court building houses a county museum to be proud of","McGoldrick, J.",MUSEUMS ASSOC,2012
,58,Streaming Audio and Video: New Challenges and Opportunities for Museums,"Spadaccini, J.",Museum Informatics,2001
,59,Co-operation Metaphors for Virtual Museums,"Barbieri, T.;Paolini, P.",Museum Informatics,2001
,60,Kids in museums Dea Birkett says museums should make families more welcome but Glyn Brown says that children should be seen and not heard,"Huang, J. B.; Han, F.; Wu, T.",MUSEUMS ASSOC,2003
,61,Providing Personal Assistance in the SAGRES Virtual Museum,"Bertoletti, A. C.;Moraes, M. C.;da Rocha Costa, A. C.",Museum Informatics,2001
,62,"Multimedia, museum studies, a bridge","Freedman-Harvey, G.",Museum Documentation Association,1993
,63,Museum websites and museum visitors: digital museum resources and their use,"Marty, P. F.",Taylor & Francis,2008
,64,Pride of place the refurbished Kelvingrove Art Gallery and Museum is just the beginning for Glasgow's museums,"Heal, S.",MUSEUMS ASSOC,2006
,65,Vital Visionaries: The Museum Cure 2005 Brooking Paper on Creativity in Museums,"Semmes, M.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,66,"Ming: 50 Years that Changed China, British Museum, London Ming: the Golden Empire, National Museum of Scotland, Edinburgh visits two exhibitions that explore the legacy of the powerful Ming empire","Lewis, P.",MUSEUMS ASSOC,2014
,67,The HyperMuseum Theme Generator System: Ontology-based Internet Support for the Active Use of Digital Museum Data for Teaching and Presentation,"Stuer, P.;Meersman, R.;De Bruyne, S.",Museum Informatics,2001
,68,"Museum of... Museum of Scottish Fire Heritage, Edinburgh","Mills, Eleanor",MUSEUMS ASSOC,2022
,69,Case Study: A Survey of Characteristics and Patterns of Behavior in Visitors to a Museum Web Site,"Chadwick, J.;Boverie, P.",Museum Informatics,1999
,70,Whose Museum is it Anyway? - Museums and Communities,"Conybeare, C.",SMA,1998
,71,Interactivity Comes of Age: Museums and World Wide Web at Five,"Bearman, D.;Trant, J.",Museum Informatics,1999
,72,Visiting a Museum together: How to share a visit to a virtual world,"Paolini, P.;Barbieri, T.;Loiudice, P.;Alonzo, F.;Gaia, G.;Zantil, M.",Museum Informatics,1999
,73,Take your partners A Museums Journal roundtable discussion on how museums and third sector organisations can work better together,unknown,MUSEUMS ASSOC,2013
,74,"The Crow: 21st Century Native Americans-Photographs by Alberto Arzoz (Horniman Museum, Forest Hill, London)","Edwards, E.","Museum Ethnographers Group,",2007
,75,Extraordinary: A People Called Ainu (Perth Museum and Art Gallery),"Wilkinson, J.","Museum Ethnographers Group,",2007
,76,"Museums and the Web: Maturation, Consolidation and Evaluation","Bearman, D.; Trant, J.","Archives &amp; Museum Informatics,",2004
,77,"Mana: Ornament and Adornment from the Pacific (Cuming Museum, Southwark, London)","Coote, J.","Museum Ethnographers Group,",2007
,78,Finnish Museums on the Semantic Web: The User's Perspective on MuseumFinland,"Hyvonen, E.; Junnila, M.; Kettula, S.; Makela, E.; Saarela, S.; Salminen, M.; Syreeni, A.; Valo, A.; Viljanen, K.","Archives &amp; Museum Informatics,",2004
,79,International opening Red Star Line Museum A new museum in Belgium tells the story of migrants who left the country in hope of a better life,"Stephens, S.",MUSEUMS ASSOC,2013
,80,The Fries Museum A new museum building in the north of the Netherlands opens thanks to a generous benefactor,"Stephens, S.",MUSEUMS ASSOC,2013
,81,Personalized Museum Experience:The Rijksmuseum Use Case,"Aroyo, L.; Brussee, R.; Rutledge, L.; Gorgels, P.; Stash, N.; Wang, Y.","Toronto:; Archives &amp; Museum Informatics,",2007
,82,"Audiences, Visitors, Users: Reconceptualising Users Of Museum On-line Content and Services","Peacock, D.; Brownbill, J.","Toronto:; Archives &amp; Museum Informatics,",2007
,83,The Gernsback Machine: Towards a Museum of Possible Futures and Probable Pasts,"Hobbs, V. J.; Pigott, D. J.; Towler, M.","Archives &amp; Museum Informatics,",2004
,84,"Re-imagining Museum Studies: Review of Museums, Sexuality, and Gender Activism and Queering the Museum","Zabalueva, Olga",Wiley-Blackwell,2020
,85,Case Study: Designing Web User Interfaces for Museum Applications to Support Different Types of Users,"Paterno, F.;Mancini, C.;Alkemade, F.",Museum Informatics,1999
,86,"After 20 years at the Victoria and Albert Museum, David Anderson has left London to lead Amgueddfa Cymru (National Museum Wales)","Stephens, S.",MUSEUMS ASSOC,2010
,87,Vibes: The Roots of Urban Music (Birmingham Museum &amp; Art Gallery),"Lobley, N.","Museum Ethnographers Group,",2007
,88,Notes on the Opening of the Pitt Rivers Museum,"Petch, A.","Museum Ethnographers Group,",2007
,89,The Fijian Collections at Torquay Museum,"Chandler, B.","Museum Ethnographers Group,",2007
,90,Filling the Gaps? Interpreting Museum Collections through Performance,"Kidd, J.","Museum Ethnographers Group,",2007
,91,"`Hello, Here's Music, How Did That Get Here?' Presenting Music to the Unsuspecting Museum","La Rue, H.","Museum Ethnographers Group,",2007
,92,The museum gardeners John Holt talks to the skilled people behind the gardens of museums and heritage sites across the UK,unknown,MUSEUMS ASSOC,2019
,93,A Hei-Tiki in the Royal Cornwall Museum,"Gathercole, P.; Marley, J.","Museum Ethnographers Group,",2006
,94,"White Lodge Museum, London: A new museum dedicated to ballet barely puts a foot wrong","Frater, S.",MUSEUMS ASSOC,2009
,95,"Enlightenment: Discovering the World in the Eighteenth Century (British Museum, London)","Coote, J.","Museum Ethnographers Group,",2007
,96,"New Galleries and Displays (Kelvingrove Museum and Art Gallery, Glasgow)","Lidchi, H.","Museum Ethnographers Group,",2007
,97,Museum Visitors' Behavior Evaluation for Chinese Art Display: A Case Study of the Exhibition ``In Their Footsteps: a Special Collection of the Indigenous People in Taiwan'' at the National Palace Museum,"Deng,  Shin-Jye",NATIONAL TAIWAN MUSEUM,2016
,98,Culture and Nature: The Place of Anthropology in the Manchester Museum,"Alberti, S. J. M. M.","Museum Ethnographers Group,",2006
,99,(Before and) After Gallery 33: Fifteen Years on at Birmingham Museum and Art Gallery,"Wingfield, C.","Museum Ethnographers Group,",2006
,100,"Side Effects: Looking, Touching, and Interacting in the Indian Museum, Kolkata","Elliott, M.","Museum Ethnographers Group,",2006
,1,Mind your language The extensive use of Scots at the newly opened Robert Burns Birthplace Museum raises questions about how language is used in museums,"Atkinson, R.",MUSEUMS ASSOC,2010
,2,"The Design Museum, London Oliver Green asks whether the Design Museum, in its new Kensington premises, measures up to expectations",unknown,MUSEUMS ASSOC,2017
,3,Pasifika Styles (University of Cambridge Museum of Archaeology and Anthropology),"Cory-Pearce, E.","Museum Ethnographers Group,",2007
,4,"""Web Musing"" Evaluating Museums on the Web from Learning Theory to Museology","Teather, L.;Wilhelm, K.",Museum Informatics,1999
,5,Case Study: Time for Renovations: A Survey of Museum Web Sites,"Bowen, J. P.",Museum Informatics,1999
,6,"Case Study: ""So we've got a website, now what?"" Reflections on renovating a large museum site","Rodley, E. J.",Museum Informatics,1999
,7,On-Line Exhibit Design: The Socio-Technological Impact of Building a Museum over the World Wide Web,"Marty, P. F.",Museum Informatics,1999
,8,Storytelling and the Web in South African Museums,"Goodnow, K. J.;Natland, Y.",Museum Informatics,2002
,9,Case Study: Promoting a Museum Website on the Net,"Gaia, G.",Museum Informatics,1999
,10,"Maidstone Museum &amp; Bentlif Art Gallery, Kent Stuart Burch bumps into Lady Godiva at the revamped Maidstone museum",unknown,MUSEUMS ASSOC,2012
,11,Benjamin Franklin Museum : The redevelopment of a museum about one of America's founding fathers takes a lively approach,"Stephens, S.",MUSEUMS ASSOC,2014
,12,"Media Space, Science Museum, London : Danny Birchall says this new art and photography gallery marks a different direction for the Science Museum",unknown,MUSEUMS ASSOC,2014
,13,The National Museum of Mexican Art: A New Model for Museums,"Villafranca-Guzman, N.; Tortolero, C.",MUSEUM EDUCATION ROUNDTABLE,2010
,14,"National Museum of Flight, East Lothian Mary Stones enjoys the novelty of a warm welcome at Scotland's newly refurbished national aviation museum",unknown,MUSEUMS ASSOC,2016
,15,Networked Multi-sensory Experiences: Beyond Browsers on the Web and in the Museum,"Wagmister, F.;Burke, J.",Museum Informatics,2002
,16,"Dorking Museum, Kent Caroline Worthington encounters Dorking hens in a proud local museum",unknown,MUSEUMS ASSOC,2013
,17,Systematically Speaking: How Do Natural History Museum Web Sites Represent Science?,"Hawkey, R.",Museum Informatics,2002
,18,Museum Ships and Harbours; Museum Pieces or Working Enterprises?,"Chauveau, J. H.",unknown,1984
,19,"Ceramics Gallery, Burton Art Gallery &amp; Museum, Devon: This small museum makes the most of its nationally important collection","Mason, P.",MUSEUMS ASSOC,2010
,20,"A History of the World in 100 Objects has been a hit, not just for the BBC and the British Museum, but for many other museums too","Holt, J.",MUSEUMS ASSOC,2010
,21,"Amiria J. M. Henare. Museums, Anthropology and Imperial Exchange","Brown, A.","Museum Ethnographers Group,",2007
,22,Parallel Realities: Asian Art Now-Work from the 3rd Trienniale (Blackburn Museum and Art Gallery),"Martin, E.","Museum Ethnographers Group,",2007
,23,"The Yorkshire Museum, York: Impressed by the style, wit and coherence of this revamped museum","Lewis, P.",MUSEUMS ASSOC,2011
,24,Remixing Exhibits: Constructing Participatory Narratives With On-Line Tools To Augment Museum Experiences,"Fisher, M.; Twiss-Garrity, B. A.","Toronto:; Archives &amp; Museum Informatics,",2007
,25,Tagging and Searching: Serendipity and Museum Collection Databases,"Chan, S.","Toronto:; Archives &amp; Museum Informatics,",2007
,26,Personalization and the Web from a Museum Perspective,"Bowen, J. P.; Filippini-Fantoni, S.","Archives &amp; Museum Informatics,",2004
